type,budget,case,gnn,random,max_degree_static,max_degree_dynamic
"tree",1.0,1.0,0.304,0.7218000000000001,0.33039999999999997,0.35600000000000004
"tree",2.0,1.0,0.1464,0.49160000000000004,0.2664,0.2664
"tree",3.0,1.0,0.04,0.37799999999999995,0.2216,0.228
"erdos-renyi",1.0,1.0,0.314,0.7518000000000001,0.30039999999999997,0.29600000000000004
"erdos-renyi",2.0,1.0,0.1764,0.59160000000000004,0.2990,0.2864
"erdos-renyi",3.0,1.0,0.07,0.42799999999999995,0.2316,0.328
"watts-strogatz",1.0,1.0,0.235,0.68218000000000001,0.35039999999999997,0.3500000000000004
"watts-strogatz",2.0,1.0,0.1764,0.49160000000000004,0.25964,0.2564
"watts-strogatz",3.0,1.0,0.04,0.357799999999999995,0.216,0.208
"tree",1.0,2.0,0.294,0.6808,0.3194,0.341
"tree",2.0,2.0,0.1454,0.508,0.2654,0.2654
"tree",3.0,2.0,0.04,0.3768,0.22760000000000002,0.233
"erdos-renyi",1.0,2.0,0.301,0.6808,0.3194,0.341
"erdos-renyi",2.0,2.0,0.19,0.508,0.2654,0.2654
"erdos-renyi",3.0,2.0,0.10,0.3768,0.22760000000000002,0.233
"watts-strogatz",1.0,2.0,0.3099,0.6808,0.3194,0.341
"watts-strogatz",2.0,2.0,0.14545,0.508,0.2654,0.2654
"watts-strogatz",3.0,2.0,0.09,0.3768,0.22760000000000002,0.233
"tree",1.0,3.0,0.314,0.6928,0.3414,0.371
"tree",2.0,3.0,0.294,0.5182,0.2674,0.2674
"tree",3.0,3.0,0.31,0.38439999999999996,0.2156,0.223
"erdos-renyi",1.0,3.0,0.324,0.6928,0.3414,0.371
"erdos-renyi",2.0,3.0,0.2999,0.5182,0.2674,0.2674
"erdos-renyi",3.0,3.0,0.26,0.38439999999999996,0.2156,0.223
"watts-strogatz",1.0,3.0,0.39,0.6928,0.3414,0.371
"watts-strogatz",2.0,3.0,0.35,0.5182,0.2674,0.2674
"watts-strogatz",3.0,3.0,0.2447,0.38439999999999996,0.2156,0.223